rpm, 	V , 	F , 	rpm , 	V , 	F 
0,      0,      0,      100, 	3 , 	0.008 
200, 	7.75,   0.005 ,	200 , 	7.4 , 	0.014 
300, 	12 , 	0.0145 ,300 , 	11.9 , 	0.025 
400, 	16 , 	0.0315 ,400 , 	15.8 , 	0.042 
500, 	20.3 , 	0.0542 ,500 , 	17 , 	0.06 
600, 	24.8 , 	0.084 , 600 , 	24.6 , 	0.081 
700, 	29.1 , 	0.117 , 700 , 	28.9 , 	0.097 
800, 	34 , 	0.16 , 	800 , 	35.5 , 	0.097 
900, 	38.9 , 	0.219 , 900 , 	40 , 	0.101 
1000, 	43.3 , 	0.277 , 1000 , 	45.5 , 	0.127 
1100, 	48 , 	0.34 , 	1100 , 	50.2 , 	0.156 
1200, 	52.5 , 	0.41 , 	1200 , 	55 , 	0.18 
1300, 	57 , 	0.49 , 	1300 , 	60.8 , 	0.21 
1400, 	62 , 	0.58 , 	1400 , 	66.9 , 	0.27 
1500, 	66.5 , 	0.67 , 	1500 , 	72.5 , 	0.32 
1600, 	73 , 	0.8 , 	1600 , 	76.7 , 	0.36 
1700, 	76 , 	0.88 , 	1700 , 	82 , 	0.42 
1800, 	83 , 	1 , 	1800 , 	86.9 , 	0.49 
1900, 	84 , 	1.05 , 	1900 , 	91.8 , 	0.56 
2000, 	89 , 	1.16 , 	2000 , 	96.5 , 	0.63 
