Ranking,Wine,Gender,Age,Enjoy Alc,Enjoy Wine,Freq
2,A,M,21,3,2,3
1,A,M,21,2,2,2
1,A,F,21,3,4,3
2,A,M,21,5,3,2
3,A,M,21,3,2,3
1,A,F,21,3,2,3
4,A,F,21,2,2,3
1,A,M,22,4,3,2
1,A,M,23,1,1,2
2,A,M,21,2,3,2
2,A,M,21,3,3,1
3,A,M,21,3,4,2
4,A,M,21,4,4,2
4,A,M,22,3,3,3
2,A,M,22,1,1,3
1,A,F,22,3,3,3
1,B,M,21,3,2,3
3,B,M,21,2,2,2
2,B,F,21,3,4,3
4,B,M,21,5,3,2
1,B,M,21,3,2,3
3,B,F,21,3,2,3
3,B,F,21,2,2,3
2,B,M,22,4,3,2
4,B,M,23,1,1,2
1,B,M,21,2,3,2
1,B,M,21,3,3,1
1,B,M,21,3,4,2
1,B,M,21,4,4,2
1,B,M,22,3,3,3
1,B,M,22,1,1,3
3,B,F,22,3,3,3
4,C,M,21,3,2,3
2,C,M,21,2,2,2
4,C,F,21,3,4,3
1,C,M,21,5,3,2
4,C,M,21,3,2,3
4,C,F,21,3,2,3
1,C,F,21,2,2,3
4,C,M,22,4,3,2
3,C,M,23,1,1,2
4,C,M,21,2,3,2
3,C,M,21,3,3,1
2,C,M,21,3,4,2
3,C,M,21,4,4,2
2,C,M,22,3,3,3
4,C,M,22,1,1,3
4,C,F,22,3,3,3
3,D,M,21,3,2,3
4,D,M,21,2,2,2
3,D,F,21,3,4,3
3,D,M,21,5,3,2
2,D,M,21,3,2,3
2,D,F,21,3,2,3
2,D,F,21,2,2,3
3,D,M,22,4,3,2
2,D,M,23,1,1,2
3,D,M,21,2,3,2
4,D,M,21,3,3,1
4,D,M,21,3,4,2
2,D,M,21,4,4,2
3,D,M,22,3,3,3
3,D,M,22,1,1,3
2,D,F,22,3,3,3
